bp,rank,score,ts,uptime_score
B62qqch9XkiTS8BLUDSM1sayfXNAtnYnQFChktYG1bfCJkDMUqs98Xr,149,7632,2021-05-22 11:26:39.362277,85.23 %
B62qrVGh6mx3DQBmXobnWidM265mxSD3aisVjR7c9KMyZV5FfXqywST,150,7590,2021-05-22 11:26:39.362277,84.76 %
B62qqvZh85mfqj7mFhKfDnC1n6aCxw8Ey876Vw2z4E4tnCkRpcHTJ7b,151,7567,2021-05-22 11:26:39.362277,84.50 %
B62qoVopcNoQPFydweGWUBnJJbrokkebVDiWGmAzYoaLysrFfzNCbya,152,7547,2021-05-22 11:26:39.362277,84.28 %
B62qrAWZFqvgJbfU95t1owLAMKtsDTAGgSZzsBJYUzeQZ7dQNMmG5vw,153,7516,2021-05-22 11:26:39.362277,83.93 %
B62qoWcd3dUzbjMHTdpjf5Us88x1otEoJmhSVRX7FXf1Dx1zT5Hp3ZC,154,7472,2021-05-22 11:26:39.362277,83.44 %
B62qpGnZs3EZ8eYuxn8ANNwcexMhYqjjSLKBer8KhsviXGdEDwi63St,155,7418,2021-05-22 11:26:39.362277,82.84 %
B62qkxMXa9JorkHdS1iinLn5WwMV4dgn3HT63osBoFgQHYoah1MdzKw,156,7411,2021-05-22 11:26:39.362277,82.76 %
B62qk2ujo9BoBxCs9BFQUsv3efaJDzbJeLs4YJdZMJzJoVj69ShVdKs,157,7410,2021-05-22 11:26:39.362277,82.75 %
B62qrzoBfFuUxJg2YvcBkBnziVtAPziP5uAPcCPpQZgtjE4LTxXvVSJ,158,7214,2021-05-22 11:26:39.362277,80.56 %
B62qqy7DHHzo4ryzUYdycH9jNaPYGj1vMUPZxQ2VwSq134EjHKeYiGt,159,7151,2021-05-22 11:26:39.362277,79.85 %
B62qocWXdgZV7hC7bDVbLvM2fAKZTFjVoqVP3ppJhpgeUV37Qem4PSs,160,7147,2021-05-22 11:26:39.362277,79.81 %
B62qmLRLxC5Fx3cRmHDwKGq6psCbmXAYE1UsS4Z1foqrXCTtJuvTbbL,161,7136,2021-05-22 11:26:39.362277,79.69 %
B62qp6HmxzW5XXwCMiyZiJREoJ4b7omkNuCJiThVLNM1P3u1s1a3qzp,162,7111,2021-05-22 11:26:39.362277,79.41 %
B62qpsMTL1mTaQUQUTQzVM1qvyGTCLVAhr8whJc7tUfmnPEuZnanzUe,163,7096,2021-05-22 11:26:39.362277,79.24 %
B62qrJ6V72vUoqTnJUsXwBFbCU2cCk42To4mmRRY19NiGMZqJuYLLJP,164,7024,2021-05-22 11:26:39.362277,78.44 %
B62qn7HrKKt5ia1dvGYHuvuFGLdwNSXUSAERQgvS2yZbZvVaK5biQef,165,6968,2021-05-22 11:26:39.362277,77.81 %
B62qn1jcWzM2h1f2HjLku6hjS5dAJ4pgjRaV3PzEHBbPTNtqKafsdhR,166,6923,2021-05-22 11:26:39.362277,77.31 %
B62qjYFuUkb1D8xgwdADbiZ6UUr6KA6x61BzzE1K9sgemawDbytmjTb,167,6905,2021-05-22 11:26:39.362277,77.11 %
B62qj4b3yw7bqZd2AKqYFedyL6sx4fF6GgCkzG7QWz394nPMN4EKLv1,168,6814,2021-05-22 11:26:39.362277,76.09 %
B62qnAZCj1kbyDHpxo6Lm9yM2FqMj4ffJTQzJeiPhgkzpEw1S33caCZ,169,6788,2021-05-22 11:26:39.362277,75.80 %
B62qik2auL1VbkX6fijdzwT6fGgjpi8caKUH6vbov573DbdT2UbQkDp,170,6719,2021-05-22 11:26:39.362277,75.03 %
B62qoWWs3NfAPtVKRnZF96gEF3MWbptg9bzC254AQNswpk9WwTFkjS4,171,6707,2021-05-22 11:26:39.362277,74.90 %
B62qorXXHv971Kvnq91TkvWsRAvMCB8yszCX6yUhpyZseKcibSZSDSF,172,6485,2021-05-22 11:26:39.362277,72.42 %
B62qov9yv8TayLteD6SDXvxyYtmn3KkUoozAbs47fVo9JZSpcynbzTz,173,6479,2021-05-22 11:26:39.362277,72.35 %
B62qnvzUAvwnAiK3eMVQooshDA5AmEF9jKRrUTt5cwbCvVFiF47vdqp,174,6454,2021-05-22 11:26:39.362277,72.07 %
B62qqD9f8CGy5QeFj1h3nsit3Zp2GDBntjEoVCdfj4SPQuubRW1CYXp,175,6297,2021-05-22 11:26:39.362277,70.32 %
